S. No.,Player,Team,Type,Role,Tier,Base Price,Winning Bid,Owner,,,,,,,,
219,Priyam Garg,Sun Risers Hyderabad,I,Batsman,3,1,1,Shekhar,,,,,,,,
220,Glenn Phillips,Sun Risers Hyderabad,O,WK,3,1,,,,,,,,,,
221,Vishnu Vinod,Sun Risers Hyderabad,I,WK,3,1,,,,,,,,,,
222,Nicholas Pooran,Sun Risers Hyderabad,O,WK,2,2.5,5.5,Pranav,,,,,,,,
223,Umran Malik,Sun Risers Hyderabad,I,Bowler,2,2.5,1.5,Avadesh,,,,,,,,
224,Saurabh Dubey,Sun Risers Hyderabad,I,Bowler,3,1,,,,,,,,,,
225,Romario Shepherd,Sun Risers Hyderabad,O,Bowler,3,1,1,Dhruv,,,,,,,,
226,Fazal Haq Farooqi,Sun Risers Hyderabad,O,Bowler,3,1,,,,,,,,,,
227,J Suchith,Sun Risers Hyderabad,I,Bowler,3,1,0.5,Sree,,,,,,,,
228,Shreyas Gopal,Sun Risers Hyderabad,I,Bowler,3,1,,,,,,,,,,
229,Kartik Tyagi,Sun Risers Hyderabad,I,Bowler,3,1,0.5,Sree,,,,,,,,
230,T Natarajan,Sun Risers Hyderabad,I,Bowler,2,2.5,1,Pranav,,,,,,,,
231,Bhuvaneshwar Kumar,Sun Risers Hyderabad,I,Bowler,2,2.5,4.5,Sree,,,,,,,,
232,Abdul Samad,Sun Risers Hyderabad,I,All-Rounder,3,1,1,Sauri,,,,,,,,
233,Marco Jansen,Sun Risers Hyderabad,O,All-Rounder,3,1,0.5,Avadesh,,,,,,,,
234,Sean Abbott,Sun Risers Hyderabad,O,All-Rounder,3,1,0.5,Shekhar,,,,,,,,
235,Abhishek Sharma,Sun Risers Hyderabad,I,All-Rounder,3,1,4.5,Sree,,,,,,,,
236,Washington Sundar,Sun Risers Hyderabad,I,All-Rounder,2,2.5,2.5,Shekhar,,,,,,,,
